pair,event1,event2,phase_set,n,east_km,north_km,depth_diff_km,delta_lat_degrees,delta_lon_degrees,event1_lat,event1_lon,event1_depth_km,event1_origin_time_shift_s,event2_lat,event2_lon,event2_depth_km,event2_origin_time_shift_s,event2_minus_event1_origin_time_shift_s,horizontal_km,separation_3d_km,median_abs_fit_residual_s,residual_rms_s
P30,723,739,no_pkikp,13,0.12619034363610118,0.20692789440750742,0.0,0.0018609460354108316,0.0020307445043417104,-56.025486075063796,-26.91872908323814,52.1,-0.9721206297276843,-56.02362512902839,-26.916698338733802,52.1,0.9721206297276843,1.9442412594553686,0.2423698750070269,0.2423698750070269,0.0028977924607694024,0.006532256688147271
P31,723,757,no_pkikp,10,-0.20375948958612777,-0.1561778477257847,0.0,-0.001404540201679794,-0.003291121809765097,-56.165450946268514,-27.098569972304297,52.1,-0.8959631379151147,-56.16685548647019,-27.101861094114064,52.1,0.8959631379151147,1.7919262758302295,0.2567283578350037,0.2567283578350037,0.0030768635855503543,0.008257621753111321
P33,725,749,no_pkikp,9,-0.47239710964976644,-0.12975867722480883,0.0,-0.001166947050000529,-0.007443997851497283,-55.19964243769339,-28.276502322359562,23.05,-0.3173501146701281,-55.20080938474339,-28.283946320211058,23.05,0.3173501146701281,0.6347002293402562,0.4898942166637463,0.4898942166637463,0.002117086613486056,0.034088493375510405
P34,726,753,no_pkikp,16,0.07668358411082266,0.029401426368995676,0.0,0.0002644132053509211,0.0012389009851836103,-56.17584158808189,-26.84779127411664,55.6,-0.377051733164563,-56.17557717487653,-26.846552373131455,55.6,0.377051733164563,0.754103466329126,0.08212682840955864,0.08212682840955864,0.0021210815906389222,0.007551029713279588
P35,727,752,no_pkikp,10,0.06003302398506205,0.20914113521009425,0.0,0.0018808501750087168,0.0009593375639469987,-55.75313034621678,-27.108463729605443,58.75,-1.5019733555984036,-55.751249496041765,-27.107504392041495,58.75,1.5019733555984036,3.0039467111968072,0.21758671468120006,0.21758671468120006,0.0014893384064516935,0.005700784237150834
P37,731,747,no_pkikp,17,0.4215401904496878,0.46291502425524855,0.0,0.004163092083773988,0.007483494337443378,-59.56569176799825,-26.18198897624854,11.8,0.7017054679908519,-59.56152867591448,-26.174505481911098,11.8,-0.7017054679908519,-1.4034109359817037,0.6260882141085203,0.6260882141085203,0.007549859289381629,0.02061906952615093
P38,732,750,no_pkikp,23,0.21058170832462864,-0.1567332769940455,0.0,-0.0014095352937995907,0.003735475332715823,-59.53651963646865,-26.42115013200321,57.1,-0.3049942792350597,-59.53792917176245,-26.41741465667049,57.1,0.3049942792350597,0.6099885584701193,0.2625070970435107,0.2625070970435107,0.006278042654858445,0.023814480272677525
P39,733,745,no_pkikp,10,-0.030734717355532362,-1.0695552148287282,0.0,-0.00961873478869309,-0.0005297696427322065,-58.54592797730533,-25.441140514677215,34.8,1.065980355408377,-58.55554671209402,-25.441670284319947,34.8,-1.065980355408377,-2.131960710816754,1.069996719816585,1.069996719816585,0.00398130149058255,0.015664868569312457
P51,718,848,no_pkikp,7,-0.06563166578774426,-0.020055337125868822,0.0,-0.0001803618609278189,-0.0011444061790140357,-58.95161667893421,-25.617965331907,52.1,2.2486794039845166,-58.951797040795135,-25.619109738086017,52.1,-2.2486794039845166,-4.497358807969033,0.06862748794256142,0.06862748794256142,0.002371977709286443,0.010532727967468077
P79,720,845,no_pkikp,9,-0.1489088358820574,-0.12439457116170734,0.0,-0.0011187065170350048,-0.0025852644333355015,-58.80121162911795,-25.563324563587543,36.6,1.478242778021568,-58.802330335634984,-25.565909828020878,36.6,-1.478242778021568,-2.956485556043136,0.1940305407358712,0.1940305407358712,0.0013518039379912744,0.011299046859557545
P112,716,852,no_pkikp,5,0.8833961299735338,0.39594452967180116,0.0,0.0035608123537191525,0.015268897647972913,-58.64870216533859,-25.201499120995667,34.6,0.8468098714374357,-58.645141352984865,-25.186230223347696,34.6,-0.8468098714374357,-1.6936197428748714,0.9680706549778484,0.9680706549778484,1.0137256028240615e-05,0.03547423258840539
P123,718,854,no_pkikp,9,-0.02379481105977223,1.1239115161289166,0.0,0.010107572427977128,-0.00041500567642287315,-58.96509933439461,-25.59602043151184,52.1,1.2149748691216944,-58.954991761966625,-25.596435437188262,52.1,-1.2149748691216944,-2.429949738243389,1.1241633729670124,1.1241633729670124,0.009535441459683006,0.05046566901433889
P140,719,857,no_pkikp,3,,,,,,,,,,,,,,,,,,
P145,715,860,no_pkikp,4,0.0862712078868133,0.2088094158416598,0.0,0.001877866953025404,0.0013913917179399645,-56.11020723235604,-26.71624368752348,61.2,2.9038860560104314,-56.108329365403016,-26.714852295805542,61.2,-2.9038860560104314,-5.807772112020863,0.2259293992697386,0.2259293992697386,1.7436808524249302e-05,0.009006653970683384
P321,720,905,no_pkikp,11,-0.03174921855995494,0.09613620450384275,0.0,0.0008645730878532556,-0.0005525086785674168,-58.883687950351,-25.607458159653035,36.6,2.186969417798136,-58.88282337726315,-25.608010668331602,36.6,-2.186969417798136,-4.373938835596272,0.10124318592168295,0.10124318592168295,0.0014494813816712032,0.011599415300250186
P355,729,829,no_pkikp,7,-0.521945908293498,-0.4248277738645312,0.0,-0.003820565437875185,-0.008796860207509347,-57.7493455860736,-25.340257743637775,43.1,0.649048367621468,-57.75316615151148,-25.349054603845286,43.1,-0.649048367621468,-1.298096735242936,0.6729830374021457,0.6729830374021457,0.0011760559695675205,0.022854539200960183
