catalog_id,origin_time,latitude,longitude,depth_km,source_catalog,source_file,source_year,source_line,depth_quality_class,depth_quality_basis,solution_type,depth_flag,depth_standard_error_km,position_standard_error_km,defining_depth_phases,event_id,origin_time_residual_s,spatial_residual_km,depth_residual_km,review_status,agency,catalog_url
335522,1991-04-15T20:39:53.510000+00:00,-56.325,-26.829,70.0,ISC-EHB,inputs/raw/1991.hdf.gz,1991,556,L2,derived conservatively from HDF flags and ISC definitions,DEQ,x,7.11,13.63,0,701,5.7,9.122259510128224,-0.5,,,
264443,1992-11-25T12:55:27.310000+00:00,-56.265,-26.871,15.0,ISC-EHB,inputs/raw/1992.hdf.gz,1992,2041,L3,derived conservatively from HDF flags and ISC definitions,FEQ,v,0.0,15.87,0,702,-0.94,10.42104953588716,-55.0,,,
1019910,1997-04-04T02:35:46.330000+00:00,-58.036,-25.704,33.0,ISC-EHB,inputs/raw/1997.hdf.gz,1997,947,Not recovered,derived conservatively from HDF flags and ISC definitions,FEQ,i,0.0,11.18,0,705,1.53,17.064407992339444,0.0,,,
1091717,1998-04-12T21:33:38.270000+00:00,-56.217,-26.924,15.0,ISC-EHB,inputs/raw/1998.hdf.gz,1998,1097,Not recovered,derived conservatively from HDF flags and ISC definitions,FEQ,x,0.0,9.42,2,708,-9.15,8.704309803951674,-55.0,,,
1678071,1999-05-14T05:05:12.390000+00:00,-58.055,-25.553,53.3,ISC-EHB,inputs/raw/1999.hdf.gz,1999,1404,Not recovered,derived conservatively from HDF flags and ISC definitions,FEQ,i,0.0,13.42,0,711,4.19,18.2166807849021,20.299999999999997,,,
1654225,1999-07-01T18:56:03.070000+00:00,-59.098,-25.781,15.0,ISC-EHB,inputs/raw/1999.hdf.gz,1999,1880,L3,derived conservatively from HDF flags and ISC definitions,FEQ,v,0.0,11.05,0,712,-0.93,6.438099155310493,-18.0,,,
3032192,2002-05-08T15:00:03.090000+00:00,-56.373,-26.728,105.0,ISC-EHB,inputs/raw/2002.hdf.gz,2002,1298,L3,derived conservatively from HDF flags and ISC definitions,FEQ,n,0.0,7.96,0,715,9.51,27.867702457079652,72.0,,,
3229284,2002-07-18T14:26:53.130000+00:00,-58.711,-25.351,33.2,ISC-EHB,inputs/raw/2002.hdf.gz,2002,1994,L2,derived conservatively from HDF flags and ISC definitions,FEQ,h,0.0,8.71,0,716,1.5,5.081003696204623,0.20000000000000284,,,
6618865,2003-03-21T10:47:50.980000+00:00,-59.088,-25.73,44.7,ISC-EHB,inputs/raw/2003.hdf.gz,2003,725,Not recovered,derived conservatively from HDF flags and ISC definitions,FEQ, ,0.0,12.67,0,718,3.38,4.280714562087004,11.700000000000003,,,
6849167,2003-05-26T08:45:20.040000+00:00,-57.511,-25.863,45.0,ISC-EHB,inputs/raw/2003.hdf.gz,2003,1350,L3,derived conservatively from HDF flags and ISC definitions,FEQ,n,0.0,14.22,0,719,-1.73,7.982443431073668,-28.299999999999997,,,
7053795,2003-08-03T05:38:57.420000+00:00,-59.011,-25.774,20.2,ISC-EHB,inputs/raw/2003.hdf.gz,2003,2097,L2,derived conservatively from HDF flags and ISC definitions,FEQ,h,0.0,10.43,0,720,-0.13,16.219476174060866,-12.8,,,
7316402,2004-03-23T06:19:56.170000+00:00,-56.199,-27.071,42.3,ISC-EHB,inputs/raw/2004.hdf.gz,2004,822,L2,derived conservatively from HDF flags and ISC definitions,FEQ,h,0.0,11.56,0,723,-3.86,16.900488471281687,-27.700000000000003,,,
7460032,2005-01-08T07:14:35.060000+00:00,-55.325,-28.134,27.6,ISC-EHB,inputs/raw/2005.hdf.gz,2005,109,L2,derived conservatively from HDF flags and ISC definitions,FEQ,h,0.0,11.37,0,725,-0.84,2.30161893319633,-5.799999999999997,,,
7481748,2005-03-16T12:27:04+00:00,-56.225,-26.836,44.5,ISC-EHB,inputs/raw/2005.hdf.gz,2005,1394,L2,derived conservatively from HDF flags and ISC definitions,FEQ,h,0.0,7.2,0,726,-2.94,4.4031828932566555,-26.0,,,
7484528,2005-03-24T06:08:38.020000+00:00,-55.932,-27.185,64.6,ISC-EHB,inputs/raw/2005.hdf.gz,2005,1501,L2,derived conservatively from HDF flags and ISC definitions,FEQ,h,0.0,7.56,0,727,-0.47,8.89334953630888,-5.300000000000011,,,
7381529,2005-05-19T15:16:41.480000+00:00,-57.943,-25.6,58.0,ISC-EHB,inputs/raw/2005.hdf.gz,2005,2449,L2,derived conservatively from HDF flags and ISC definitions,DEQ,x,5.58,9.42,1,729,0.59,5.5600676858117035,25.0,,,
10698185,2006-04-30T03:51:29.960000+00:00,-59.681,-26.268,38.6,ISC-EHB,inputs/raw/2006.hdf.gz,2006,1438,L2,derived conservatively from HDF flags and ISC definitions,FEQ,h,0.0,5.92,2,731,1.88,7.0181312441226025,14.200000000000003,,,
10698686,2006-05-29T05:20:40.460000+00:00,-59.647,-26.396,57.1,ISC-EHB,inputs/raw/2006.hdf.gz,2006,1895,L1,derived conservatively from HDF flags and ISC definitions,DEQ,d,2.68,6.47,7,732,1.26,11.052187829606336,12.700000000000003,,,
11702441,2007-03-23T17:12:48.860000+00:00,-58.643,-25.313,6.1,ISC-EHB,inputs/raw/2007.hdf.gz,2007,1155,Not recovered,derived conservatively from HDF flags and ISC definitions,FEQ,s,0.0,10.44,0,733,-2.76,7.717278177424051,-14.4,,,
