label,index1,index2,lat,lon,depth,new_lat,new_lon,new_depth,centroid_lat,centroid_lon,centroid_depth_km,relative_location_phase_set,event2_minus_event1_delta_lat,event2_minus_event1_delta_lon,event2_minus_event1_delta_depth_km,event2_minus_event1_3d_km
P01,701,726,-56.28467610569664,-26.86665244462945,55.6,,,,,,,,,,,
P02,701,753,-56.28467610569664,-26.86665244462945,55.6,,,,,,,,,,,
P03,702,708,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P04,702,723,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P05,702,739,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P06,702,757,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P148,702,862,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P84,801,727,-55.99058312643954,-27.21263557749531,58.75,,,,,,,,,,,
P85,801,752,-55.99058312643954,-27.21263557749531,58.75,,,,,,,,,,,
P433,801,919,-55.99058312643954,-27.21263557749531,58.75,,,,,,,,,,,
P64,802,715,-56.34680693056976,-26.78327653647155,61.2,,,,,,,,,,,
P108,802,830,-56.34680693056976,-26.78327653647155,61.2,,,,,,,,,,,
P65,802,758,-56.34680693056976,-26.78327653647155,61.2,,,,,,,,,,,
P144,802,860,-56.34680693056976,-26.78327653647155,61.2,,,,,,,,,,,
P10,705,711,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P11,705,729,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P350,705,829,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P351,705,843,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P337,705,904,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P16,708,723,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P17,708,739,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P18,708,757,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P149,708,862,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P20,711,729,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P353,711,829,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P354,711,843,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P338,711,904,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P21,712,718,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P102,712,734,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P103,712,742,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P50,712,848,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P122,712,854,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P127,712,859,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P420,712,916,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P66,715,830,-56.34680693056976,-26.78327653647155,61.2,,,,,,,,,,,
P24,715,758,-56.34680693056976,-26.78327653647155,61.2,,,,,,,,,,,
P145,715,860,-56.34680693056976,-26.78327653647155,61.2,-56.10926829887953,-26.71554799166451,61.2,-56.10926829887953,-26.71554799166451,61.2,no_pkikp,0.001877866953025404,0.001391391717939964,0,0.2259293992697386
P25,716,737,-58.71885295057024,-25.30438035082583,34.6,,,,,,,,,,,
P112,716,852,-58.71885295057024,-25.30438035082583,34.6,-58.64692175916173,-25.19386467217168,34.6,-58.64692175916173,-25.19386467217168,34.6,no_pkikp,0.003560812353719152,0.01526889764797291,0,0.9680706549778484
P114,716,858,-58.71885295057024,-25.30438035082583,34.6,,,,,,,,,,,
P104,718,734,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P105,718,742,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P51,718,848,-59.07567283416727,-25.75688207055991,52.1,-58.95170685986467,-25.61853753499651,52.1,-58.95170685986467,-25.61853753499651,52.1,no_pkikp,-0.0001803618609278189,-0.001144406179014036,0,0.06862748794256142
P123,718,854,-59.07567283416727,-25.75688207055991,52.1,-58.96004554818062,-25.59622793435005,52.1,-58.96004554818062,-25.59622793435005,52.1,no_pkikp,0.01010757242797713,-0.0004150056764228731,0,1.124163372967012
P128,718,859,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P421,718,916,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P60,719,811,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P61,719,822,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P27,719,754,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P140,719,857,-57.51533036314863,-25.927287372662,48,-57.13632214199157,-25.19199677748542,48,-57.13632214199157,-25.19199677748542,48,no_pkikp,0.003247797572707668,-0.00161641843773864,0,0.374077527753709
P400,719,909,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P28,720,736,-59.00759214615599,-25.6913684915447,36.6,,,,,,,,,,,
P79,720,845,-59.00759214615599,-25.6913684915447,36.6,-58.80177098237647,-25.56461719580421,36.6,-58.80177098237647,-25.56461719580421,36.6,no_pkikp,-0.001118706517035005,-0.002585264433335501,0,0.1940305407358712
P321,720,905,-59.00759214615599,-25.6913684915447,36.6,-58.88325566380708,-25.60773441399232,36.6,-58.88325566380708,-25.60773441399232,36.6,no_pkikp,0.0008645730878532556,-0.0005525086785674168,0,0.101243185921683
P30,723,739,-56.22636790038285,-26.9819909130144,52.1,-56.02455560204609,-26.91771371098597,52.1,-56.02455560204609,-26.91771371098597,52.1,no_pkikp,0.001860946035410832,0.00203074450434171,0,0.2423698750070269
P31,723,757,-56.22636790038285,-26.9819909130144,52.1,-56.16615321636935,-27.10021553320918,52.1,-56.16615321636935,-27.10021553320918,52.1,no_pkikp,-0.001404540201679794,-0.003291121809765097,0,0.2567283578350037
P150,723,862,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P33,725,749,-55.3790553757968,-28.25034096225037,23.05,-55.20022591121839,-28.28022432128531,23.05,-55.20022591121839,-28.28022432128531,23.05,no_pkikp,-0.001166947050000529,-0.007443997851497283,0,0.4898942166637463
P34,726,753,-56.28467610569664,-26.86665244462945,55.6,-56.17570938147921,-26.84717182362405,55.6,-56.17570938147921,-26.84717182362405,55.6,no_pkikp,0.0002644132053509211,0.00123890098518361,0,0.08212682840955864
P35,727,752,-55.99058312643954,-27.21263557749531,58.75,-55.75218992112927,-27.10798406082347,58.75,-55.75218992112927,-27.10798406082347,58.75,no_pkikp,0.001880850175008717,0.0009593375639469987,0,0.2175867146812001
P434,727,919,-55.99058312643954,-27.21263557749531,58.75,,,,,,,,,,,
P107,811,822,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P63,811,754,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P141,811,857,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P401,811,909,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P355,729,829,-58.01077194242965,-25.58688335759325,43.1,-57.75125586879254,-25.34465617374153,43.1,-57.75125586879254,-25.34465617374153,43.1,no_pkikp,-0.003820565437875185,-0.008796860207509347,0,0.6729830374021457
P356,729,843,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P316,729,904,-58.01077194242965,-25.58688335759325,43.1,,,,,,,,,,,
P37,731,747,-59.63650009515298,-26.26299337130446,11.8,-59.56361022195637,-26.17824722907982,11.8,-59.56361022195637,-26.17824722907982,11.8,no_pkikp,0.004163092083773988,0.007483494337443378,0,0.6260882141085203
P38,732,750,-59.65450319982369,-26.42499351559478,57.1,-59.53722440411555,-26.41928239433685,57.1,-59.53722440411555,-26.41928239433685,57.1,no_pkikp,-0.001409535293799591,0.003735475332715823,0,0.2625070970435107
P39,733,745,-58.74696617586314,-25.28282503876243,34.8,-58.55073734469968,-25.44140539949858,34.8,-58.55073734469968,-25.44140539949858,34.8,no_pkikp,-0.00961873478869309,-0.0005297696427322065,0,1.069996719816585
P117,733,853,-58.74696617586314,-25.28282503876243,34.8,,,,,,,,,,,
P119,733,861,-58.74696617586314,-25.28282503876243,34.8,,,,,,,,,,,
P324,733,906,-58.74696617586314,-25.28282503876243,34.8,,,,,,,,,,,
P406,733,911,-58.74696617586314,-25.28282503876243,34.8,,,,,,,,,,,
P427,733,917,-58.74696617586314,-25.28282503876243,34.8,,,,,,,,,,,
P40,734,742,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P52,734,848,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P124,734,854,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P129,734,859,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P422,734,916,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P80,736,845,-59.00759214615599,-25.6913684915447,36.6,,,,,,,,,,,
P322,736,905,-59.00759214615599,-25.6913684915447,36.6,,,,,,,,,,,
P113,737,852,-58.71885295057024,-25.30438035082583,34.6,,,,,,,,,,,
P115,737,858,-58.71885295057024,-25.30438035082583,34.6,,,,,,,,,,,
P43,739,757,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P151,739,862,-56.22636790038285,-26.9819909130144,52.1,,,,,,,,,,,
P62,822,754,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P142,822,857,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P402,822,909,-57.51533036314863,-25.927287372662,48,,,,,,,,,,,
P53,742,848,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
P125,742,854,-59.07567283416727,-25.75688207055991,52.1,,,,,,,,,,,
