pair_label,event1,event2,network,station,posted_correlation,source_figure,selection_status,notes
P31,723,757,IU,SDV,0.94,Figure_P31_waveform.png,confirmed,
P31,723,757,IU,OTAV,0.95,Figure_P31_waveform.png,confirmed,
P31,723,757,IU,SAML,0.98,Figure_P31_waveform.png,confirmed,
P31,723,757,GT,LPAZ,0.99,Figure_P31_waveform.png,confirmed,
P31,723,757,GT,VNDA,0.96,Figure_P31_waveform.png,confirmed,
P31,723,757,IU,LVC,0.95,Figure_P31_waveform.png,confirmed,
P31,723,757,GT,CPUP,0.94,Figure_P31_waveform.png,confirmed,
P31,723,757,IU,QSPA,0.96,Figure_P31_waveform.png,confirmed,
P33,725,749,IU,SDV,0.91,Figure_P33_waveform.png,confirmed,
P33,725,749,IU,SAML,0.92,Figure_P33_waveform.png,confirmed,
P33,725,749,IU,QSPA,0.94,Figure_P33_waveform.png,confirmed,
P34,726,753,IU,SDV,0.98,Figure_P34_waveform.png,confirmed,
P34,726,753,IU,OTAV,0.97,Figure_P34_waveform.png,confirmed,
P34,726,753,G,DRV,0.94,Figure_P34_waveform.png,confirmed,
P34,726,753,GT,LPAZ,0.99,Figure_P34_waveform.png,confirmed,
P34,726,753,GT,VNDA,0.98,Figure_P34_waveform.png,confirmed,
P34,726,753,IU,SBA,0.96,Figure_P34_waveform.png,confirmed,
P34,726,753,IU,LVC,0.98,Figure_P34_waveform.png,confirmed,
P34,726,753,IU,QSPA,0.99,Figure_P34_waveform.png,confirmed,
P34,726,753,IU,PMSA,0.93,Figure_P34_waveform.png,confirmed,
P355,729,829,IU,SAML,0.95,Figure_P355_waveform.png,confirmed,
P355,729,829,GT,LPAZ,0.90,Figure_P355_waveform.png,confirmed,
P355,729,829,IU,QSPA,0.97,Figure_P355_waveform.png,confirmed,
P37,731,747,IU,LSZ,0.93,Figure_P37_waveform.png,confirmed,
P37,731,747,IU,SAML,0.90,Figure_P37_waveform.png,confirmed,
P37,731,747,GT,LPAZ,0.91,Figure_P37_waveform.png,confirmed,
P37,731,747,GT,VNDA,0.95,Figure_P37_waveform.png,confirmed,
P37,731,747,GT,PLCA,0.94,Figure_P37_waveform.png,confirmed,
P37,731,747,IU,QSPA,0.94,Figure_P37_waveform.png,confirmed,
P38,732,750,G,CAN,0.93,Figure_P38_waveform.png,confirmed,
P38,732,750,IU,SDV,0.92,Figure_P38_waveform.png,confirmed,
P38,732,750,II,MBAR,0.93,Figure_P38_waveform.png,confirmed,
P38,732,750,IU,OTAV,0.97,Figure_P38_waveform.png,confirmed,
P38,732,750,IU,LSZ,0.93,Figure_P38_waveform.png,confirmed,
P38,732,750,GT,LPAZ,0.95,Figure_P38_waveform.png,confirmed,
P38,732,750,IU,CASY,0.95,Figure_P38_waveform.png,confirmed,
P38,732,750,GT,LBTB,0.94,Figure_P38_waveform.png,confirmed,
P38,732,750,IU,LVC,0.96,Figure_P38_waveform.png,confirmed,
P38,732,750,GT,VNDA,0.94,Figure_P38_waveform.png,confirmed,
P38,732,750,GT,CPUP,0.93,Figure_P38_waveform.png,confirmed,
P38,732,750,GT,PLCA,0.95,Figure_P38_waveform.png,confirmed,
P38,732,750,IU,QSPA,0.95,Figure_P38_waveform.png,confirmed,
P38,732,750,,, ,Figure_P38_waveform.png,review,"Additional crowded labels near 40-50 degrees are not confidently legible; review the source before treating them as selected."
P39,733,745,IU,SBA,0.96,Figure_P39_waveform.png,confirmed,
P39,733,745,G,PEL,0.92,Figure_P39_waveform.png,confirmed,
P39,733,745,GT,PLCA,0.94,Figure_P39_waveform.png,confirmed,
P39,733,745,IU,QSPA,0.94,Figure_P39_waveform.png,confirmed,
